transaction_id,amount,type,originating_country,destination_country,account_id,transaction_date,record_arrival_date
100001,112.50,transfer,India,Canada,500001,2026-08-21,2026-08-02
100002,125.00,withdrawal,United Kingdom,Australia,500002,2026-08-22,2026-08-03
100003,137.50,payment,Canada,India,500003,2026-08-23,2026-08-04
100004,150.00,purchase,Australia,United States,500004,2026-08-24,2026-08-05
100005,162.50,transfer,India,United Kingdom,500005,2026-08-25,2026-08-06
100006,175.00,withdrawal,United States,Canada,500006,2026-08-26,2026-08-07
100007,187.50,payment,United Kingdom,Australia,500007,2026-08-27,2026-08-08
100008,200.00,purchase,Canada,India,500008,2026-08-28,2026-08-09
100009,212.50,transfer,Australia,United States,500009,2026-08-29,2026-08-10
100010,225.00,withdrawal,India,United Kingdom,500010,2026-08-30,2026-08-01
100011,237.50,payment,United States,Canada,500011,2026-08-21,2026-08-02
100012,250.00,purchase,United Kingdom,Australia,500012,2026-08-22,2026-08-03
100013,262.50,transfer,Canada,India,500013,2026-08-23,2026-08-04
100014,275.00,withdrawal,Australia,United States,500014,2026-08-24,2026-08-05
100015,287.50,payment,India,United Kingdom,500015,2026-08-25,2026-08-06
100016,300.00,purchase,United States,Canada,500016,2026-08-26,2026-08-07
100017,312.50,transfer,United Kingdom,Australia,500017,2026-08-27,2026-08-08
100018,325.00,withdrawal,Canada,India,500018,2026-08-28,2026-08-09
100019,337.50,payment,Australia,United States,500019,2026-08-29,2026-08-10
100020,350.00,purchase,India,United Kingdom,500020,2026-08-30,2026-08-01
100021,362.50,transfer,United States,Canada,500021,2026-08-21,2026-08-02
100022,375.00,withdrawal,United Kingdom,Australia,500022,2026-08-22,2026-08-03
100023,387.50,payment,Canada,India,500023,2026-08-23,2026-08-04
100024,400.00,purchase,Australia,United States,500024,2026-08-24,2026-08-05
100025,412.50,transfer,India,United Kingdom,500025,2026-08-25,2026-08-06
100026,425.00,withdrawal,United States,Canada,500026,2026-08-26,2026-08-07
